Price,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Date,,,,,
2017-03-22,274.7596130371094,276.1119173293636,271.89140821853283,273.0801162767191,20291685
2017-03-23,277.72601318359375,278.6529906692999,274.3888592910316,275.5121348080621,11807911
2017-03-24,280.65960693359375,281.8047222831855,276.6680977767457,277.9004566821145,16282523
2017-03-27,272.8837890625,278.91468874752735,272.03313532840855,277.24608305065016,32452615
2017-03-28,271.7169189453125,275.69750823596104,270.92077779117244,274.388825733832,21707345
2017-03-29,274.0943603515625,274.8250397064237,269.0122775216132,273.01467764631025,18924345
2017-03-30,277.14794921875,278.04222472986515,273.2982256394453,273.7344433912039,27862325
2017-03-31,288.1082763671875,291.76170259699813,276.1337475475613,276.1337475475613,45390562
2017-04-03,299.8319396972656,301.1079204149999,291.63081227253303,292.71049498446496,44886623
2017-04-05,308.6329040527344,309.28725990732505,301.0206992003987,304.31423112447476,40323877
2017-04-06,313.75860595703125,316.02699685439137,305.84104870720677,307.3242184108608,50620850
2017-04-07,306.80072021484375,312.77707890149367,305.9173645940852,310.00703758207186,31875272
2017-04-10,301.29327392578125,310.7921621475956,300.4098893768356,307.5422528253209,30768410
2017-04-11,299.330322265625,305.4593576209089,298.8395626369632,302.71109787639944,32249647
2017-04-12,295.327880859375,302.40573341379314,294.7062559036888,301.60959220948064,27448279
2017-04-13,297.68353271484375,299.5592983934516,293.8774013320534,295.32786921145197,12713918
2017-04-17,303.58355712890625,304.3905892359677,297.7271725898525,297.7271725898525,11837502
2017-04-18,298.861328125,307.5422947584775,298.1633505689374,305.3502567714873,16016414
2017-04-19,298.555908203125,301.55500692397175,296.1021107478896,298.5995299747733,11572557
2017-04-20,298.7195739746094,302.4820545755326,297.53083674034093,300.78077596503664,8393496
2017-04-21,305.9064636230469,309.9415946920145,300.68259538705485,301.10792229562276,30230907
2017-04-24,309.1564025878906,312.9952360104729,305.40481273218376,307.3351203293265,25512511
2017-04-25,312.5153503417969,320.1384749846657,311.0539915557881,318.448087288009,36764315
2017-04-26,308.94915771484375,314.0966733133538,305.9282766741984,312.9952088172394,16763153
2017-04-27,307.4332580566406,310.6286553448767,305.8410339750038,309.0691330380611,12571594
2017-04-28,304.3142395019531,309.78891893202416,303.39815292831315,307.4878261720635,11848658
2017-05-02,298.9376525878906,305.79736636197384,298.01067525842427,305.79736636197384,18591411
2017-05-03,298.8395690917969,301.162472813623,297.727184458805,300.32273889578045,9500038
2017-05-04,296.189453125,300.9116420574184,295.3387992576331,299.9083119533474,14365934
2017-05-05,289.71136474609375,298.2396837210673,289.002496352115,296.98551402709893,15598448
2017-05-08,288.21728515625,292.1651723544474,287.55203851390365,290.0930797595935,16066733
2017-05-09,290.16943359375,290.88919289884814,287.96644654235683,288.78439852362084,21106150
2017-05-10,296.4402160644531,297.42173511947675,290.2348584263676,291.14002481532964,22906024
2017-05-11,296.5384216308594,298.7631907054439,294.8153030385768,297.53083171020285,13783848
2017-05-12,294.55364990234375,297.50909914796495,293.15772342057824,296.6475541850029,7523427
2017-05-15,293.1685485839844,295.8513755846946,290.85653585687714,295.8513755846946,6738085
